feature_id,programme_name,cluster
148,ER protein folding in secretory/erythroid cells,1
244,ER protein folding and secretory stress,1
249,ER protein folding and oxidative metabolism,1
332,ER stress and secretory protein processing,1
621,ER protein processing and oxidative metabolism,1
708,ER protein folding and secretory stress,1
1284,ER protein folding and secretory pathway,1
1501,ER protein folding and secretory load,1
1722,Mitochondrial OXPHOS and ER protein processing,1
0,Plasma cell immunoglobulin secretion programme,2
1,Plasma cell immunoglobulin secretion programme,2
5,Plasma cell ER/secretory immunoglobulin programme,2
6,Plasma cell immunoglobulin secretion programme,2
7,Plasma cell immunoglobulin secretion programme,2
8,Plasma cell immunoglobulin secretion programme,2
9,Plasma cell immunoglobulin secretion programme,2
12,Plasma cell ER/secretory programme,2
13,Plasma cell immunoglobulin secretion programme,2
14,Plasma cell immunoglobulin secretion programme,2
16,Plasma cell immunoglobulin secretion programme,2
19,Plasma cell immunoglobulin secretion programme,2
24,Plasma cell immunoglobulin secretion programme,2
56,Plasma cell immunoglobulin secretion programme,2
73,Plasma cell immunoglobulin secretion programme,2
75,Plasma cell immunoglobulin secretion programme,2
90,Plasma cell immunoglobulin secretion programme,2
254,Plasma cell immunoglobulin secretion programme,2
355,Plasma cell immunoglobulin secretion programme,2
470,Plasma cell immunoglobulin secretion programme,2
484,Plasma cell immunoglobulin secretion programme,2
548,Plasma cell immunoglobulin secretion programme,2
574,Plasma cell immunoglobulin secretion programme,2
575,Plasma cell immunoglobulin secretion programme,2
576,Plasma cell immunoglobulin secretion programme,2
816,Plasma cell immunoglobulin secretion programme,2
837,Plasma cell ER/secretory programme,2
979,Plasma cell immunoglobulin secretion programme,2
987,Plasma cell secretory/UPR programme,2
1149,Plasma cell immunoglobulin secretion programme,2
1269,Plasma cell immunoglobulin secretion programme,2
1357,Plasma cell immunoglobulin secretion programme,2
1428,Plasma cell immunoglobulin secretion programme,2
1434,Plasma cell immunoglobulin secretory programme,2
1460,Plasma cell ER protein secretion,2
1481,Plasma cell immunoglobulin secretion programme,2
1552,Plasma cell unfolded protein response,2
1581,Plasma cell immunoglobulin secretion programme,2
